Date,Price,Open,High,Low,Vol.,Change %,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,rolling_mean_1,rolling_mean_2,rolling_mean_3,rolling_mean_4,rolling_mean_5,rolling_mean_6,rolling_mean_7,rolling_mean_8,rolling_mean_9,rolling_mean_10
2020-06-25,4918.58,"4,860.16","4,941.96","4,795.05",99.38M,0.97%,4871.36,5017.68,4948.7,4979.45,4958.75,4995.97,4952.46,4815.72,4839.26,4815.6,4871.36,4944.52,4945.913333333333,4954.2975,4955.188,4961.985,4960.624285714285,4942.51125,4931.038888888888,4919.495
2020-06-26,4909.64,"4,965.72","5,014.83","4,908.15",83.95M,-0.18%,4918.58,4871.36,5017.68,4948.7,4979.45,4958.75,4995.97,4952.46,4815.72,4839.26,4918.58,4894.969999999999,4935.873333333334,4939.08,4947.1539999999995,4949.086666666666,4955.784285714285,4955.368750000001,4939.852222222222,4929.793
2020-06-29,4945.46,"4,887.23","4,977.63","4,867.33",94.42M,0.73%,4909.64,4918.58,4871.36,5017.68,4948.7,4979.45,4958.75,4995.97,4952.46,4815.72,4909.64,4914.110000000001,4899.86,4929.315,4933.192000000001,4940.901666666667,4943.451428571428,4950.016250000001,4950.2877777777785,4936.831
2020-06-30,4935.99,"4,958.94","4,967.35","4,901.96",102.40M,-0.19%,4945.46,4909.64,4918.58,4871.36,5017.68,4948.7,4979.45,4958.75,4995.97,4952.46,4945.46,4927.55,4924.56,4911.26,4932.544,4935.236666666667,4941.552857142857,4943.7025,4949.51,4949.805
2020-07-01,4926.94,"4,939.80","4,963.37","4,851.37",94.50M,-0.18%,4935.99,4945.46,4909.64,4918.58,4871.36,5017.68,4948.7,4979.45,4958.75,4995.97,4935.99,4940.725,4930.363333333334,4927.4175,4916.206,4933.118333333333,4935.344285714286,4940.8575,4942.845555555556,4948.157999999999
2020-07-02,5049.38,"4,963.13","5,072.71","4,956.66",115.45M,2.49%,4926.94,4935.99,4945.46,4909.64,4918.58,4871.36,5017.68,4948.7,4979.45,4958.75,4926.94,4931.465,4936.13,4929.5075,4927.322,4917.995,4932.2357142857145,4934.29375,4939.311111111111,4941.255
2020-07-03,5007.14,"5,056.67","5,062.51","4,982.24",61.98M,-0.84%,5049.38,4926.94,4935.99,4945.46,4909.64,4918.58,4871.36,5017.68,4948.7,4979.45,5049.38,4988.16,4970.7699999999995,4964.4425,4953.481999999999,4947.665,4936.7642857142855,4946.87875,4947.081111111111,4950.318
2020-07-06,5081.51,"5,112.50","5,121.72","5,059.07",88.52M,1.49%,5007.14,5049.38,4926.94,4935.99,4945.46,4909.64,4918.58,4871.36,5017.68,4948.7,5007.14,5028.26,4994.486666666667,4979.8625,4972.982,4962.425,4956.161428571429,4945.56125,4953.574444444444,4953.0869999999995
2020-07-07,5043.73,"5,054.04","5,056.52","5,009.03",75.99M,-0.74%,5081.51,5007.14,5049.38,4926.94,4935.99,4945.46,4909.64,4918.58,4871.36,5017.68,5081.51,5044.325000000001,5046.010000000001,5016.2425,5000.192,4991.07,4979.437142857142,4971.83,4960.666666666667,4966.368
2020-07-08,4981.13,"5,004.82","5,040.52","4,969.83",79.88M,-1.24%,5043.73,5081.51,5007.14,5049.38,4926.94,4935.99,4945.46,4909.64,4918.58,4871.36,5043.73,5062.62,5044.126666666667,5045.4400000000005,5021.74,5007.448333333333,4998.592857142858,4987.47375,4979.818888888889,4968.973
2020-07-09,4921.01,"5,006.52","5,014.85","4,911.56",83.12M,-1.21%,4981.13,5043.73,5081.51,5007.14,5049.38,4926.94,4935.99,4945.46,4909.64,4918.58,4981.13,5012.43,5035.456666666667,5028.3775000000005,5032.5779999999995,5014.971666666666,5003.688571428572,4996.41,4986.768888888889,4979.95
2020-07-10,4970.48,"4,891.61","4,974.37","4,882.50",82.36M,1.01%,4921.01,4981.13,5043.73,5081.51,5007.14,5049.38,4926.94,4935.99,4945.46,4909.64,4921.01,4951.07,4981.956666666667,5006.845,5006.904,5013.983333333334,5001.548571428572,4993.35375,4988.032222222222,4980.193
2020-07-13,5056.23,"5,026.20","5,060.43","4,980.12",75.19M,1.73%,4970.48,4921.01,4981.13,5043.73,5081.51,5007.14,5049.38,4926.94,4935.99,4945.46,4970.48,4945.745,4957.54,4979.0875,4999.572,5000.833333333333,5007.768571428571,4997.665,4990.812222222222,4986.277
2020-07-14,5007.46,"4,990.48","5,007.46","4,941.73",83.50M,-0.96%,5056.23,4970.48,4921.01,4981.13,5043.73,5081.51,5007.14,5049.38,4926.94,4935.99,5056.23,5013.355,4982.573333333333,4982.2125,4994.5160000000005,5009.014999999999,5008.747142857143,5013.82625,5004.172222222222,4997.354
2020-07-15,5108.98,"5,045.92","5,145.33","5,039.19",97.82M,2.03%,5007.46,5056.23,4970.48,4921.01,4981.13,5043.73,5081.51,5007.14,5049.38,4926.94,5007.46,5031.844999999999,5011.389999999999,4988.795,4987.262000000001,4996.673333333333,5008.7928571428565,5008.58625,5013.118888888889,5004.501
2020-07-16,5085.28,"5,076.52","5,105.12","5,048.32",69.54M,-0.46%,5108.98,5007.46,5056.23,4970.48,4921.01,4981.13,5043.73,5081.51,5007.14,5049.38,5108.98,5058.219999999999,5057.556666666666,5035.787499999999,5012.832,5007.548333333333,5012.717142857143,5021.31625,5019.7411111111105,5022.705
2020-07-17,5069.42,"5,088.00","5,091.13","5,045.07",82.55M,-0.31%,5085.28,5108.98,5007.46,5056.23,4970.48,4921.01,4981.13,5043.73,5081.51,5007.14,5085.28,5097.129999999999,5067.24,5064.487499999999,5045.686,5024.906666666667,5018.652857142857,5021.7875,5028.423333333333,5026.295
2020-07-20,5093.18,"5,058.48","5,100.79","5,015.11",65.19M,0.47%,5069.42,5085.28,5108.98,5007.46,5056.23,4970.48,4921.01,4981.13,5043.73,5081.51,5069.42,5077.35,5087.8933333333325,5067.785,5065.473999999999,5049.641666666666,5031.265714285714,5024.99875,5027.08,5032.523
2020-07-21,5104.28,"5,129.78","5,172.98","5,097.42",85.78M,0.22%,5093.18,5069.42,5085.28,5108.98,5007.46,5056.23,4970.48,4921.01,4981.13,5043.73,5093.18,5081.3,5082.626666666667,5089.215,5072.864,5070.091666666666,5055.861428571428,5039.005,5032.574444444444,5033.6900000000005
2020-07-22,5037.12,"5,098.48","5,099.29","5,028.48",75.80M,-1.32%,5104.28,5093.18,5069.42,5085.28,5108.98,5007.46,5056.23,4970.48,4921.01,4981.13,5104.28,5098.73,5088.96,5088.04,5092.228,5078.1,5074.975714285714,5061.91375,5046.257777777778,5039.745
2020-07-23,5033.76,"5,064.72","5,083.97","5,019.21",79.47M,-0.07%,5037.12,5104.28,5093.18,5069.42,5085.28,5108.98,5007.46,5056.23,4970.48,4921.01,5037.12,5070.7,5078.193333333334,5076.0,5077.856,5083.043333333333,5072.245714285715,5070.24375,5059.158888888888,5045.344
2020-07-24,4956.43,"4,973.73","4,982.12","4,925.41",76.46M,-1.54%,5033.76,5037.12,5104.28,5093.18,5069.42,5085.28,5108.98,5007.46,5056.23,4970.48,5033.76,5035.4400000000005,5058.386666666666,5067.085,5067.552000000001,5070.506666666667,5076.002857142857,5067.4349999999995,5066.19,5056.619
2020-07-27,4939.62,"4,944.30","4,957.77","4,923.19",74.17M,-0.34%,4956.43,5033.76,5037.12,5104.28,5093.18,5069.42,5085.28,5108.98,5007.46,5056.23,4956.43,4995.095,5009.1033333333335,5032.8975,5044.954000000001,5049.031666666667,5054.21,5061.05625,5055.101111111111,5055.214
2020-07-28,4928.94,"4,930.10","4,950.01","4,893.63",78.67M,-0.22%,4939.62,4956.43,5033.76,5037.12,5104.28,5093.18,5069.42,5085.28,5108.98,5007.46,4939.62,4948.025,4976.6033333333335,4991.7325,5014.242,5027.3983333333335,5033.401428571428,5039.8862500000005,5047.5633333333335,5043.553
2020-07-29,4958.74,"4,948.48","4,978.50","4,945.58",75.52M,0.60%,4928.94,4939.62,4956.43,5033.76,5037.12,5104.28,5093.18,5069.42,5085.28,5108.98,4928.94,4934.28,4941.663333333333,4964.6875,4979.174,5000.025,5013.332857142857,5020.34375,5027.558888888889,5035.700999999999
2020-07-30,4852.94,"4,952.08","4,952.38","4,801.02",137.07M,-2.13%,4958.74,4928.94,4939.62,4956.43,5033.76,5037.12,5104.28,5093.18,5069.42,5085.28,4958.74,4943.84,4942.433333333333,4945.9325,4963.498,4975.768333333333,4994.127142857143,5006.50875,5013.498888888889,5020.677000000001
2020-07-31,4783.69,"4,866.24","4,902.90","4,783.69",129.68M,-1.43%,4852.94,4958.74,4928.94,4939.62,4956.43,5033.76,5037.12,5104.28,5093.18,5069.42,4852.94,4905.84,4913.54,4920.0599999999995,4927.334,4945.071666666667,4958.221428571428,4976.478749999999,4989.445555555555,4997.443
2020-08-03,4875.93,"4,797.06","4,899.52","4,763.60",104.62M,1.93%,4783.69,4852.94,4958.74,4928.94,4939.62,4956.43,5033.76,5037.12,5104.28,5093.18,4783.69,4818.315,4865.123333333333,4881.077499999999,4892.785999999999,4903.3933333333325,4922.017142857142,4936.405,4955.057777777777,4968.87
2020-08-04,4889.52,"4,905.66","4,920.80","4,856.65",86.95M,0.28%,4875.93,4783.69,4852.94,4958.74,4928.94,4939.62,4956.43,5033.76,5037.12,5104.28,4875.93,4829.8099999999995,4837.5199999999995,4867.825,4880.048,4889.9766666666665,4899.469999999999,4916.256249999999,4929.685555555556,4947.1449999999995
2020-08-05,4933.34,"4,916.96","4,954.60","4,907.41",74.97M,0.90%,4889.52,4875.93,4783.69,4852.94,4958.74,4928.94,4939.62,4956.43,5033.76,5037.12,4889.52,4882.725,4849.713333333333,4850.52,4872.164,4881.626666666666,4889.911428571429,4898.22625,4913.285555555556,4925.669
